1	2	1	4	1	0	0	2	2	0	2	2	3	4	4	4
2	1	1	2	1	1	1	2	2	1	2	2	1	1	1	1
3	.	.	.	.	.	.	.	0	.	.	.	.	.	.	0
4	4	0	3	2	1	1	3	1	0	4	2	2	4	2	2
5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6	1	2	2	1	0	1	2	2	1	.	.	2	2	2	2
7	3	0	1	1	.	0	2	3	2	2	1	3	2	0	3
8	4	4	4	2	2	2	2	2	1	3	3	1	3	3	2
9	3	0	0	.	.	.	2	2	3	1	1	4	3	3	4
10	1	0	0	0	1	0	.	1	1	2	0	3	3	1	2
11	2	3	3	1	1	1	2	1	1	2	2	3	3	2	2
12	2	2	2	.	.	.	2	2	.	.	2	.	.	2	2
13	2	1	4	0	1	2	2	4	1	2	2	3	3	3	4
14	1	0	3	1	0	0	0	0	0	1	0	1	1	1	1
15	1	0	4	0	0	0	1	1	2	3	1	1	2	2	4
16	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
17	3	0	2	1	1	1	1	2	1	2	2	2	2	2	2
18	3	3	3	1	1	1	2	2	3	2	2	2	2	2	2
19	2	2	2	1	0	.	2	2	2	4	2	.	.	.	.
20	4	0	0	0	0	0	0	0	.	2	0	0	0	0	0
21	4	4	4	1	1	2	4	4	2	0	3	3	4	3	4
22	4	0	1	.	.	.	3	1	2	1	4	1	0	0	0
23	1	0	.	2	2	.	2	3	.	3	.	2	.	.	2
24	1	0	2	.	.	.	2	3	0	2	.	2	0	0	2
25	1	0	2	.	1	0	0	1	2	1	2	1	2	2	4
26	1	0	2	2	.	.	1	.	.	2	1	1	.	2	3
27	3	1	2	0	.	.	2	3	1	2	2	4	3	3	2
28	3	4	3	1	0	2	2	4	1	4	4	.	2	2	3
29	.	.	3	2	2	2	2	2	3	.	.	4	4	4	.
30	2	0	3	1	.	.	1	2	2	2	1	2	2	1	1
31	4	1	2	1	0	.	1	2	2	3	4	3	3	4	4
32	3	1	3	0	0	0	2	2	1	1	2	3	2	2	2
33	3	1	3	0	.	.	2	2	1	1	2	3	0	1	4
34	2	1	2	1	0	.	1	2	3	2	2	4	4	4	4
35	3	0	4	1	1	0	2	1	2	2	1	3	2	2	1
36	3	1	2	.	0	1	1	3	2	3	2	3	3	3	3
37	0	0	3	1	0	0	1	3	0	0	0	2	0	2	3
38	2	2	2	.	.	.	.	.	1	0	0	.	.	.	.
39	.	1	1	2	.	2	.	1	2	1	1	0	4	1	.
40	.	0	3	1	0	.	1	3	1	0	2	2	0	0	2
41	1	1	0	1	.	.	2	1	1	1	0	1	1	0	0
42	1	3	2	1	1	1	2	2	1	3	1	2	2	2	2
43	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
44	1	2	3	2	.	.	2	3	.	2	2	2	2	3	3
45	4	1	3	1	1	2	2	2	3	2	3	4	3	3	4
46	3	3	1	.	.	.	1	1	.	2	2	.	0	1	3
47	3	2	3	2	.	0	3	4	2	2	1	3	3	2	2
48	.	.	3	.	.	.	1	2	.	2	2	2	2	2	3
49	.	1	2	1	.	0	2	2	2	2	2	3	1	2	4
50	1	1	2	.	.	.	.	.	.	1	1	.	.	.	.
51	1	0	2	1	1	.	1	2	3	2	2	2	2	2	.
52	1	2	1	1	.	.	0	0	.	1	0	2	1	2	0
53	4	3	1	.	.	1	3	3	1	1	.	1	3	1	3
54	2	1	2	1	1	1	2	2	0	2	2	0	2	4	3
55	4	2	0	1	0	2	4	0	2	4	3	2	3	2	1
56	4	.	1	1	0	1	1	3	.	2	.	2	3	3	3
57	2	3	2	1	0	0	2	2	1	2	2	3	2	2	2
58	0	0	2	.	0	2	1	0	0	1	0	0	0	0	4
59	2	0	3	1	0	.	2	4	1	2	3	4	4	3	4
60	3	3	3	1	2	.	2	3	1	2	2	3	2	2	2
61	1	.	1	0	.	.	1	0	1	.	.	1	2	2	2
62	2	0	2	1	2	0	2	0	2	0	.	.	4	3	3
63	3	1	1	0	.	.	0	3	.	1	3	0	2	0	2
64	4	4	3	1	2	2	4	4	3	4	4	3	3	4	4
65	3	0	3	1	0	.	1	0	0	2	.	1	1	1	1
66	1	0	1	0	.	.	2	1	2	2	0	1	3	3	2
67	2	1	0	1	0	.	0	2	.	2	.	1	2	1	0
68	3	2	3	2	1	1	1	2	1	1	2	1	4	1	3
69	3	3	2	1	1	1	1	3	2	2	1	3	2	3	2
70	4	3	2	1	1	1	2	3	2	2	3	4	4	3	4
71	4	1	3	1	1	.	2	3	3	1	3	4	3	4	3
72	.	.	2	0	0	0	.	2	.	0	.	3	.	.	1
73	2	0	3	0	.	.	1	0	1	1	0	1	2	2	1
74	4	0	2	1	.	1	1	1	0	3	.	3	0	1	2
75	0	0	1	1	1	.	1	0	0	1	0	1	0	0	0
76	2	2	2	1	0	1	2	2	3	2	2	1	2	3	1
77	1	1	2	1	.	.	2	2	.	2	2	2	2	2	3
78	3	2	4	1	1	.	2	3	.	4	2	3	2	4	2
79	1	0	3	2	0	0	1	2	.	2	.	2	2	2	2
80	3	0	3	1	0	1	1	3	1	1	0	3	2	1	1
81	0	0	0	2	0	0	0	1	0	1	0	0	0	0	1
82	2	0	2	0	0	1	1	1	1	2	2	1	2	2	2
83	2	0	3	1	.	.	3	3	.	2	1	2	4	2	3
84	2	0	3	.	1	2	2	3	1	2	1	4	2	2	3
85	.	1	1	.	0	.	1	2	0	.	.	1	.	2	.
86	3	0	1	0	.	0	1	2	.	2	2	2	.	2	.
87	3	0	2	0	.	.	2	4	2	2	2	4	3	4	3
88	2	0	1	1	1	1	3	3	1	2	3	4	3	2	3
89	3	3	3	2	1	1	2	2	2	4	2	4	3	3	4
90	0	.	1	1	0	.	0	0	0	2	1	1	1	2	2
91	.	1	1	1	0	.	3	2	2	1	1	3	2	2	.
92	4	2	3	1	.	1	4	4	3	4	3	4	4	4	3
93	4	.	3	2	.	1	2	3	2	3	3	3	4	4	2
94	4	3	4	2	1	2	3	4	3	2	3	4	3	3	3
95	1	4	4	1	1	2	2	4	2	3	4	3	3	0	2
96	1	0	0	1	0	0	1	2	1	1	1	2	2	1	4
97	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
98	2	2	2	1	1	1	2	2	1	2	2	2	2	2	2
99	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
100	2	2	2	.	.	.	1	1	1	2	2	.	.	.	.
101	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
102	4	4	3	2	1	2	4	4	.	4	4	4	4	2	2
103	2	2	3	2	0	1	1	1	0	2	2	3	4	3	1
104	4	3	4	2	1	2	4	4	1	3	1	0	2	2	4
105	1	0	3	1	.	0	1	2	.	1	2	3	2	2	3
106	3	3	3	2	2	2	3	3	3	1	2	.	.	.	.
107	.	.	.	1	.	.	3	3	.	2	.	2	3	.	4
108	.	.	3	1	.	.	3	3	3	.	3	3	.	.	.
109	2	2	2	1	1	1	2	2	.	.	.	.	.	.	.
110	3	3	4	1	0	0	1	3	1	1	1	3	4	4	4
111	1	3	1	2	1	0	2	0	1	4	3	1	4	3	1
112	1	0	1	2	1	0	1	1	0	1	0	.	.	.	.
113	0	0	1	.	0	1	0	0	0	1	0	1	1	1	1
114	1	4	2	0	0	0	1	3	1	1	1	3	0	3	2
115	.	2	2	1	1	1	2	2	2	2	2	2	2	2	2
116	2	2	.	0	.	.	2	1	0	1	.	.	2	.	1
117	2	0	2	1	1	2	0	1	.	.	.	.	.	.	.
118	3	3	3	1	.	2	3	3	2	3	2	4	4	4	3
119	3	2	1	1	0	2	4	2	0	2	3	1	2	3	3
120	2	2	2	0	1	1	1	2	1	3	3	2	2	2	2
121	2	0	4	0	0	2	0	2	0	1	1	1	1	1	0
122	2	3	4	2	0	.	0	1	1	2	1	3	3	2	3
123	.	.	0	1	0	1	1	1	0	1	0	1	.	.	.
124	3	2	3	2	1	2	2	3	1	2	2	3	2	2	2
125	3	0	1	2	.	1	1	1	.	2	3	.	2	3	4
126	2	2	0	2	1	2	4	4	2	4	3	1	4	2	2
127	3	1	2	1	1	2	2	2	1	1	2	4	2	2	3
128	3	4	0	1	0	2	4	1	1	3	0	2	1	2	4
129	.	0	2	0	1	2	4	4	3	4	3	4	4	4	4
130	3	.	2	.	.	1	.	.	.	2	.	.	.	.	.
131	3	1	3	1	0	.	1	1	0	2	2	2	2	2	2
132	2	1	2	1	1	1	1	1	0	3	1	1	.	1	1
133	3	0	1	1	1	2	2	4	0	4	1	2	1	1	3
134	3	2	3	1	1	2	2	2	3	3	3	3	3	3	3
135	.	1	1	1	0	0	1	0	3	2	1	1	0	0	.
136	2	0	2	0	0	.	2	2	1	2	0	1	2	2	3
137	4	.	3	.	.	2	2	3	.	3	2	2	3	3	2
138	4	2	3	1	0	.	2	3	0	3	1	3	2	2	3
139	2	1	.	.	1	.	.	2	.	1	1	2	.	.	2
140	3	0	.	2	0	1	1	0	0	2	0	3	1	0	2
141	1	2	2	1	.	.	1	2	.	2	.	2	2	1	2
142	2	.	2	.	.	1	2	3	.	2	.	2	2	2	2
143	2	1	0	2	1	2	2	0	1	2	1	.	1	0	0
